species index (starts from 1),from,to,stoichiometric value 
214,R95,MOH,0.250000
235,OTHRO2,R95,1.000000
261,R95,ALD2,0.750000
262,R95,CH2O,0.750000
263,MO2,R95,1.000000
281,R95,HO2,1.000000
222,MEK,R96,1.000000
249,R96,KO2,1.000000
260,R96,HNO3,1.000000
283,NO3,R96,1.000000
154,R97,ROH,0.250000
214,R97,MOH,0.250000
219,R97,ACET,0.160000
222,R97,MEK,0.350000
233,R97,A3O2,0.030000
235,R97,OTHRO2,0.160000
252,R4O2,R97,1.000000
253,R97,B3O2,0.090000
255,R97,RCHO,0.070000
261,R97,ALD2,0.160000
262,R97,CH2O,0.750000
263,MO2,R97,0.910000
281,R97,HO2,0.640000
154,R98,ROH,0.250000
214,R98,MOH,0.250000
251,R4N1,R98,1.000000
252,R98,R4O2,0.150000
255,R98,RCHO,0.540000
261,R98,ALD2,0.380000
262,R98,CH2O,0.950000
263,MO2,R98,1.000000
270,R98,NO2,1.000000
281,R98,HO2,0.500000
214,R99,MOH,0.500000
228,R99,MGLY,0.500000
246,R99,HAC,0.200000
248,ATO2,R99,1.000000
257,R99,MCO3,0.300000
262,R99,CH2O,0.500000
263,MO2,R99,1.000000
281,R99,HO2,0.300000
154,R100,ROH,0.250000
214,R100,MOH,0.250000
222,R100,MEK,0.250000
249,KO2,R100,1.000000
257,R100,MCO3,0.500000
261,R100,ALD2,0.500000
262,R100,CH2O,0.750000
263,MO2,R100,1.000000
281,R100,HO2,0.500000
154,R101,ROH,0.250000
214,R101,MOH,0.250000
219,R101,ACET,0.750000
253,B3O2,R101,1.000000
262,R101,CH2O,0.750000
263,MO2,R101,1.000000
281,R101,HO2,1.000000
154,R102,ROH,0.250000
197,PRN1,R102,1.000000
214,R102,MOH,0.250000
255,R102,RCHO,0.250000
261,R102,ALD2,0.500000
262,R102,CH2O,1.250000
263,MO2,R102,1.000000
270,R102,NO2,1.000000
281,R102,HO2,0.500000
129,EOH,R103,1.000000
261,R103,ALD2,1.000000
279,OH,R103,1.000000
281,R103,HO2,1.000000
154,ROH,R104,1.000000
255,R104,RCHO,1.000000
279,OH,R104,1.000000
281,R104,HO2,1.000000
213,ETO2,R105,2.000000
261,R105,ALD2,2.000000
281,R105,HO2,2.000000
235,OTHRO2,R106,2.000000
261,R106,ALD2,2.000000
281,R106,HO2,2.000000
129,R107,EOH,1.000000
213,ETO2,R107,2.000000
261,R107,ALD2,1.000000
129,R108,EOH,1.000000
235,OTHRO2,R108,2.000000
261,R108,ALD2,1.000000
109,R109,ETP,1.000000
213,ETO2,R109,1.000000
281,HO2,R109,1.000000
109,R110,ETP,1.000000
235,OTHRO2,R110,1.000000
281,HO2,R110,1.000000
92,R111,RA3P,1.000000
233,A3O2,R111,1.000000
281,HO2,R111,1.000000
111,R112,PP,1.000000
204,PO2,R112,1.000000
281,HO2,R112,1.000000
31,R113,POx,0.150000
94,R113,RP,0.410000
233,R113,A3O2,0.030000
235,R113,OTHRO2,0.220000
250,RCO3,R113,1.000000
253,R113,B3O2,0.120000
269,R113,O3,0.150000
279,R113,OH,0.440000
281,HO2,R113,1.000000
204,R114,PO2,1.000000
254,PRPE,R114,1.000000
279,OH,R114,1.000000
32,R115,LOx,1.000000
33,R115,PCO,0.560000
186,R115,CH4,0.100000
191,R115,CH3CHOO,0.120000
230,R115,CH2OO,0.120000
254,PRPE,R115,1.000000
258,R115,CO,0.560000
261,R115,ALD2,0.500000
262,R115,CH2O,0.500000
263,R115,MO2,0.280000
269,O3,R115,1.000000
279,R115,OH,0.360000
281,R115,HO2,0.280000
6,R116,CO2,0.361000
33,R116,PCO,0.505000
207,R116,HCOOH,0.134000
218,R116,GLYX,0.134000
232,GLYC,R116,1.000000
258,R116,CO,0.505000
262,R116,CH2O,0.732000
279,OH,R116,0.773000
281,R116,HO2,0.773000
33,R117,PCO,1.000000
207,R117,HCOOH,1.000000
232,GLYC,R117,1.000000
258,R117,CO,1.000000
279,OH,R117,1.000000
279,R117,OH,1.000000
197,R118,PRN1,1.000000
254,PRPE,R118,1.000000
283,NO3,R118,1.000000
33,R119,PCO,2.000000
218,GLYX,R119,1.000000
258,R119,CO,2.000000
279,OH,R119,1.000000
281,R119,HO2,1.000000
33,R120,PCO,1.000000
228,MGLY,R120,1.000000
257,R120,MCO3,1.000000
258,R120,CO,1.000000
279,OH,R120,1.000000
33,R121,PCO,2.000000
218,GLYX,R121,1.000000
258,R121,CO,2.000000
260,R121,HNO3,1.000000
281,R121,HO2,1.000000
283,NO3,R121,1.000000
33,R122,PCO,1.000000
228,MGLY,R122,1.000000
257,R122,MCO3,1.000000
258,R122,CO,1.000000
260,R122,HNO3,1.000000
283,NO3,R122,1.000000
228,R123,MGLY,1.000000
246,HAC,R123,1.000000
279,OH,R123,1.000000
281,R123,HO2,1.000000
6,R124,CO2,0.500000
33,R124,PCO,0.500000
207,R124,HCOOH,0.500000
215,R124,ACTA,0.500000
246,HAC,R124,1.000000
258,R124,CO,0.500000
263,R124,MO2,0.500000
279,OH,R124,1.000000
279,R124,OH,1.000000
233,A3O2,R125,1.000000
255,R125,RCHO,1.000000
257,MCO3,R125,1.000000
263,R125,MO2,1.000000
281,R125,HO2,1.000000
204,PO2,R126,1.000000
257,MCO3,R126,1.000000
261,R126,ALD2,1.000000
262,R126,CH2O,1.000000
263,R126,MO2,1.000000
281,R126,HO2,1.000000
215,R127,ACTA,1.000000
233,A3O2,R127,1.000000
255,R127,RCHO,1.000000
257,MCO3,R127,1.000000
204,PO2,R128,1.000000
215,R128,ACTA,1.000000
246,R128,HAC,0.650000
255,R128,RCHO,0.350000
257,MCO3,R128,1.000000
233,R129,A3O2,0.070000
235,R129,OTHRO2,0.500000
250,RCO3,R129,1.000000
253,R129,B3O2,0.270000
262,R129,CH2O,1.000000
263,MO2,R129,1.000000
281,R129,HO2,1.000000
250,RCO3,R130,1.000000
262,R130,CH2O,1.000000
263,MO2,R130,1.000000
112,PRPN,R131,1.000000
194,R131,PROPNN,0.791000
197,R131,PRN1,0.209000
279,OH,R131,0.209000
109,ETP,R132,1.000000
235,R132,OTHRO2,0.360000
261,R132,ALD2,0.640000
279,OH,R132,0.360000
92,RA3P,R133,1.000000
233,R133,A3O2,0.360000
255,R133,RCHO,0.640000
279,OH,R133,0.360000
93,RB3P,R134,1.000000
219,R134,ACET,0.791000
253,R134,B3O2,0.209000
279,OH,R134,0.209000
91,R4P,R135,1.000000
252,R135,R4O2,0.209000
255,R135,RCHO,0.791000
279,OH,R135,0.209000
94,RP,R136,1.000000
250,R136,RCO3,1.000000
279,OH,R136,1.000000
111,PP,R137,1.000000
204,R137,PO2,0.209000
246,R137,HAC,0.791000
279,OH,R137,0.209000
23,LVOC,R138,1.000000
279,OH,R138,1.000000
279,R138,OH,1.000000
66,MAP,R139,1.000000
257,R139,MCO3,1.000000
279,OH,R139,1.000000
157,C2H6,R140,1.000000
213,R140,ETO2,1.000000
260,R140,HNO3,1.000000
283,NO3,R140,1.000000
257,MCO3,R141,2.000000
263,R141,MO2,2.000000
257,MCO3,R142,1.000000
262,R142,CH2O,1.000000
263,MO2,R142,1.000000
263,R142,MO2,1.000000
281,R142,HO2,1.000000
215,R143,ACTA,1.000000
257,MCO3,R143,1.000000
262,R143,CH2O,1.000000
263,MO2,R143,1.000000
219,R144,ACET,0.320000
222,R144,MEK,0.190000
233,R144,A3O2,0.050000
235,R144,OTHRO2,0.320000
252,R4O2,R144,1.000000
253,R144,B3O2,0.180000
255,R144,RCHO,0.130000
257,MCO3,R144,1.000000
261,R144,ALD2,0.320000
263,R144,MO2,1.000000
281,R144,HO2,0.270000
248,ATO2,R145,1.000000
257,MCO3,R145,1.000000
257,R145,MCO3,1.000000
262,R145,CH2O,1.000000
263,R145,MO2,1.000000
249,KO2,R146,1.000000
257,MCO3,R146,1.000000
257,R146,MCO3,1.000000
261,R146,ALD2,1.000000
263,R146,MO2,1.000000
219,R147,ACET,1.000000
253,B3O2,R147,1.000000
257,MCO3,R147,1.000000
